urgent_surgeries;location;region;conventional_surgeries;health_centre;period;scheduled_surgeries;ambulatory_surgeries
87;[38.014123, -7.8721227];Região de Saúde do Alentejo;212;Unidade Local de Saúde do Baixo Alentejo, EPE;2013-01;362;150
110;[39.3003425, -7.4263845];Região de Saúde do Alentejo;235;Unidade Local de Saúde do Norte Alentejano, EPE;2013-01;442;207
99;[40.5309916, -7.2734793];Região de Saúde do Centro;296;Unidade Local de Saúde da Guarda, EPE;2013-01;709;413
194;[38.6658713, -9.1822554];Região de Saúde LVT;440;Hospital Garcia de Orta, EPE;2013-01;868;428
398;[41.1831056, -8.6010558];Região de Saúde Norte;1408;Centro Hospitalar Universitário de São João, EPE;2013-01;3252;1844
490;[41.1472498, -8.6172617];Região de Saúde Norte;1141;Centro Hospitalar Universitário do Porto, EPE;2013-01;2640;1499
200;[41.56785, -8.398982];Região de Saúde Norte;871;Hospital de Braga, PPP;2013-01;1990;1119
183;[38.5684861, -7.9032848];Região de Saúde do Alentejo;974;Hospital Espírito Santo de Évora, EPE;2013-02;2431;1457
291;[40.6362453, -8.6543716];Região de Saúde do Centro;599;Centro Hospitalar do Baixo Vouga, EPE;2013-02;1538;939
125;[40.117897, -8.8586755];Região de Saúde do Centro;450;Hospital Distrital da Figueira da Foz, EPE;2013-02;951;501
704;[38.708454, -9.216985];Região de Saúde LVT;1370;Centro Hospitalar de Lisboa Ocidental, EPE;2013-02;2642;1272
364;[39.4054629, -9.1258493];Região de Saúde LVT;602;Centro Hospitalar do Oeste, EPE;2013-02;1084;482
754;[41.1831056, -8.6010558];Região de Saúde Norte;2879;Centro Hospitalar Universitário de São João, EPE;2013-02;6502;3623
335;[41.4387173, -8.3086907];Região de Saúde Norte;866;Centro Hospitalar do Alto Ave, EPE;2013-02;1984;1118
474;[41.1094138, -8.5972617];Região de Saúde Norte;1581;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;2013-02;3712;2131
297;[41.8056532, -6.7888197];Região de Saúde Norte;516;Unidade Local de Saúde do Nordeste, EPE;2013-02;972;456
288;[39.3003425, -7.4263845];Região de Saúde do Alentejo;712;Unidade Local de Saúde do Norte Alentejano, EPE;2013-03;1298;586
979;[37.0238973, -7.9281554];Região de Saúde do Algarve;1636;Centro Hospitalar Universitário do Algarve,EPE;2013-03;3165;1529
230;[40.2804158, -7.4922407];Região de Saúde do Centro;576;Centro Hospitalar Universitário Cova da Beira, EPE;2013-03;1142;566
1343;[38.7422257, -9.2264834];Região de Saúde LVT;1685;Hospital Professor Doutor Fernando Fonseca, EPE;2013-03;4218;2533
544;[38.6658713, -9.1822554];Região de Saúde LVT;1166;Hospital Garcia de Orta, EPE;2013-03;2738;1572
1372;[41.1472498, -8.6172617];Região de Saúde Norte;3193;Centro Hospitalar Universitário do Porto, EPE;2013-03;7404;4211
80;[41.1785642, -8.6062881];Região de Saúde Norte;1328;Instituto Português Oncologia do Porto, EPE;2013-03;2482;1154
393;[41.1794456, -8.6745115];Região de Saúde Norte;1270;Unidade Local de Saúde de Matosinhos, EPE;2013-03;2928;1658
1291;[37.0238973, -7.9281554];Região de Saúde do Algarve;2187;Centro Hospitalar Universitário do Algarve,EPE;2013-04;4304;2117
301;[40.2804158, -7.4922407];Região de Saúde do Centro;796;Centro Hospitalar Universitário Cova da Beira, EPE;2013-04;1505;709
383;[40.5309916, -7.2734793];Região de Saúde do Centro;1023;Unidade Local de Saúde da Guarda, EPE;2013-04;2622;1599
378;[38.6554005, -9.0592392];Região de Saúde LVT;827;Centro Hospitalar Barreiro/Montijo, EPE;2013-04;1834;1007
2457;[38.7166948, -9.1371248];Região de Saúde LVT;5811;Centro Hospitalar Universitário Lisboa Central, EPE;2013-04;12455;6644
489;[38.5283754, -8.8818638];Região de Saúde LVT;1199;Centro Hospitalar de Setúbal, EPE;2013-04;2433;1234
756;[38.729006, -9.418267];Região de Saúde LVT;686;Hospital de Cascais, PPP;2013-04;2098;1412
1837;[41.1472498, -8.6172617];Região de Saúde Norte;4266;Centro Hospitalar Universitário do Porto, EPE;2013-04;9898;5632
894;[41.2494561, -8.264901];Região de Saúde Norte;2389;Centro Hospitalar Tâmega e Sousa, EPE;2013-04;5792;3403
136;[41.1785642, -8.6062881];Região de Saúde Norte;1778;Instituto Português Oncologia do Porto, EPE;2013-04;3262;1484
556;[41.1794456, -8.6745115];Região de Saúde Norte;1721;Unidade Local de Saúde de Matosinhos, EPE;2013-04;3950;2229
758;[41.7056054, -8.8252713];Região de Saúde Norte;1579;Unidade Local de Saúde do Alto Minho, EPE;2013-04;3927;2348
661;[38.5684861, -7.9032848];Região de Saúde do Alentejo;2344;Hospital Espírito Santo de Évora, EPE;2013-05;5972;3628
492;[40.5309916, -7.2734793];Região de Saúde do Centro;1317;Unidade Local de Saúde da Guarda, EPE;2013-05;3296;1979
463;[38.6554005, -9.0592392];Região de Saúde LVT;1093;Centro Hospitalar Barreiro/Montijo, EPE;2013-05;2424;1331
1778;[38.708454, -9.216985];Região de Saúde LVT;3465;Centro Hospitalar de Lisboa Ocidental, EPE;2013-05;6741;3276
2300;[38.7500861, -9.1616116];Região de Saúde LVT;5411;Centro Hospitalar Universitário de Lisboa Norte, EPE;2013-05;11261;5850
818;[38.821455, -9.176296];Região de Saúde LVT;1397;Hospital de Loures, PPP;2013-05;3653;2256
542;[38.977235, -8.984506];Região de Saúde LVT;1139;Hospital de Vila Franca de Xira, PPP;2013-05;2581;1442
497;[41.3828711, -8.7589945];Região de Saúde Norte;1209;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2013-05;2870;1661
952;[41.7056054, -8.8252713];Região de Saúde Norte;2026;Unidade Local de Saúde do Alto Minho, EPE;2013-05;4967;2941
393;[38.0162314, -8.6956768];Região de Saúde do Alentejo;753;Unidade Local de Saúde do Litoral Alentejano, EPE;2013-06;1947;1194
1995;[37.0238973, -7.9281554];Região de Saúde do Algarve;3206;Centro Hospitalar Universitário do Algarve,EPE;2013-06;6373;3167
1084;[40.516364, -8.0827433];Região de Saúde do Centro;3622;Centro Hospitalar Tondela-Viseu, EPE;2013-06;9029;5407
535;[38.6554005, -9.0592392];Região de Saúde LVT;1283;Centro Hospitalar Barreiro/Montijo, EPE;2013-06;2830;1547
2129;[38.708454, -9.216985];Região de Saúde LVT;4020;Centro Hospitalar de Lisboa Ocidental, EPE;2013-06;7819;3799
801;[39.2410946, -8.6937515];Região de Saúde LVT;1453;Hospital Distrital de Santarém, EPE;2013-06;2978;1525
1154;[38.6658713, -9.1822554];Região de Saúde LVT;2274;Hospital Garcia de Orta, EPE;2013-06;5397;3123
1009;[41.4387173, -8.3086907];Região de Saúde Norte;2672;Centro Hospitalar do Alto Ave, EPE;2013-06;6050;3378
955;[41.3423984, -8.4802503];Região de Saúde Norte;2439;Centro Hospitalar do Médio Ave, EPE;2013-06;6655;4216
594;[41.3828711, -8.7589945];Região de Saúde Norte;1492;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2013-06;3460;1968
1102;[41.3031784, -7.7515252];Região de Saúde Norte;2334;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;2013-06;5789;3455
1364;[41.1094138, -8.5972617];Região de Saúde Norte;4621;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;2013-06;10792;6171
480;[38.0162314, -8.6956768];Região de Saúde do Alentejo;859;Unidade Local de Saúde do Litoral Alentejano, EPE;2013-07;2291;1432
1273;[40.6362453, -8.6543716];Região de Saúde do Centro;2414;Centro Hospitalar do Baixo Vouga, EPE;2013-07;5474;3060
1470;[40.9293884, -8.5458794];Região de Saúde Norte;5225;Centro Hospitalar Entre Douro e Vouga, EPE;2013-07;10429;5204
742;[41.3828711, -8.7589945];Região de Saúde Norte;1763;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2013-07;3960;2197
982;[41.1794456, -8.6745115];Região de Saúde Norte;2964;Unidade Local de Saúde de Matosinhos, EPE;2013-07;6792;3828
1378;[41.7056054, -8.8252713];Região de Saúde Norte;2689;Unidade Local de Saúde do Alto Minho, EPE;2013-07;6720;4031
1837;[40.516364, -8.0827433];Região de Saúde do Centro;4800;Centro Hospitalar Tondela-Viseu, EPE;2013-08;12186;7386
697;[38.6554005, -9.0592392];Região de Saúde LVT;1665;Centro Hospitalar Barreiro/Montijo, EPE;2013-08;3525;1860
1119;[39.478072, -8.5404429];Região de Saúde LVT;2380;Centro Hospitalar Médio Tejo, EPE;2013-08;4936;2556
1586;[38.6658713, -9.1822554];Região de Saúde LVT;2915;Hospital Garcia de Orta, EPE;2013-08;7178;4263
3704;[41.1472498, -8.6172617];Região de Saúde Norte;7658;Centro Hospitalar Universitário do Porto, EPE;2013-08;18319;10661
854;[41.3828711, -8.7589945];Região de Saúde Norte;1951;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2013-08;4291;2340
122;[41.5324234, -8.6171561];Região de Saúde Norte;764;Hospital Santa Maria Maior, EPE;2013-08;1966;1202
1605;[41.7056054, -8.8252713];Região de Saúde Norte;2864;Unidade Local de Saúde do Alto Minho, EPE;2013-08;6927;4063
874;[40.5309916, -7.2734793];Região de Saúde do Centro;2149;Unidade Local de Saúde da Guarda, EPE;2013-09;5357;3208
1048;[38.977235, -8.984506];Região de Saúde LVT;2091;Hospital de Vila Franca de Xira, PPP;2013-09;5070;2979
1788;[38.6658713, -9.1822554];Região de Saúde LVT;3304;Hospital Garcia de Orta, EPE;2013-09;8333;5029
1561;[41.4387173, -8.3086907];Região de Saúde Norte;3792;Centro Hospitalar do Alto Ave, EPE;2013-09;8582;4790
1939;[40.9293884, -8.5458794];Região de Saúde Norte;6438;Centro Hospitalar Entre Douro e Vouga, EPE;2013-09;12820;6382
140;[41.5324234, -8.6171561];Região de Saúde Norte;858;Hospital Santa Maria Maior, EPE;2013-09;2244;1386
927;[39.3003425, -7.4263845];Região de Saúde do Alentejo;2174;Unidade Local de Saúde do Norte Alentejano, EPE;2013-10;4178;2004
2504;[40.516364, -8.0827433];Região de Saúde do Centro;6129;Centro Hospitalar Tondela-Viseu, EPE;2013-10;15873;9744
969;[40.5309916, -7.2734793];Região de Saúde do Centro;2455;Unidade Local de Saúde da Guarda, EPE;2013-10;6078;3623
6611;[38.7166948, -9.1371248];Região de Saúde LVT;13585;Centro Hospitalar Universitário Lisboa Central, EPE;2013-10;30002;16417
1391;[39.2410946, -8.6937515];Região de Saúde LVT;2263;Hospital Distrital de Santarém, EPE;2013-10;4920;2657
4588;[41.1472498, -8.6172617];Região de Saúde Norte;9874;Centro Hospitalar Universitário do Porto, EPE;2013-10;23792;13918
1988;[41.7056054, -8.8252713];Região de Saúde Norte;3615;Unidade Local de Saúde do Alto Minho, EPE;2013-10;8727;5112
769;[38.0162314, -8.6956768];Região de Saúde do Alentejo;1304;Unidade Local de Saúde do Litoral Alentejano, EPE;2013-11;3605;2301
866;[40.2804158, -7.4922407];Região de Saúde do Centro;2051;Centro Hospitalar Universitário Cova da Beira, EPE;2013-11;4168;2117
2090;[39.4054629, -9.1258493];Região de Saúde LVT;2838;Centro Hospitalar do Oeste, EPE;2013-11;5447;2609
1536;[39.2410946, -8.6937515];Região de Saúde LVT;2578;Hospital Distrital de Santarém, EPE;2013-11;5657;3079
1902;[41.4387173, -8.3086907];Região de Saúde Norte;4804;Centro Hospitalar do Alto Ave, EPE;2013-11;10706;5902
442;[41.1785642, -8.6062881];Região de Saúde Norte;5418;Instituto Português Oncologia do Porto, EPE;2013-11;10102;4684
5457;[41.1472498, -8.6172617];Região de Saúde Norte;11877;Centro Hospitalar Universitário do Porto, EPE;2013-12;29069;17192
2322;[41.3031784, -7.7515252];Região de Saúde Norte;4090;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;2013-12;10918;6828
471;[41.1785642, -8.6062881];Região de Saúde Norte;5867;Instituto Português Oncologia do Porto, EPE;2013-12;10977;5110
1992;[41.8056532, -6.7888197];Região de Saúde Norte;2386;Unidade Local de Saúde do Nordeste, EPE;2013-12;5526;3140
229;[39.7414812, -8.7982706];Região de Saúde do Centro;444;Centro Hospitalar de Leiria, EPE;2014-01;1057;613
71;[40.117897, -8.8586755];Região de Saúde do Centro;203;Hospital Distrital da Figueira da Foz, EPE;2014-01;460;257
69;[38.6554005, -9.0592392];Região de Saúde LVT;261;Centro Hospitalar Barreiro/Montijo, EPE;2014-01;508;247
201;[41.4387173, -8.3086907];Região de Saúde Norte;452;Centro Hospitalar do Alto Ave, EPE;2014-01;1022;570
196;[40.9293884, -8.5458794];Região de Saúde Norte;615;Centro Hospitalar Entre Douro e Vouga, EPE;2014-01;1392;777
11;[41.5324234, -8.6171561];Região de Saúde Norte;73;Hospital Santa Maria Maior, EPE;2014-01;255;182
310;[38.5684861, -7.9032848];Região de Saúde do Alentejo;941;Hospital Espírito Santo de Évora, EPE;2014-02;2548;1607
133;[40.2804158, -7.4922407];Região de Saúde do Centro;505;Centro Hospitalar Universitário Cova da Beira, EPE;2014-02;914;409
154;[40.117897, -8.8586755];Região de Saúde do Centro;398;Hospital Distrital da Figueira da Foz, EPE;2014-02;927;529
149;[40.5309916, -7.2734793];Região de Saúde do Centro;595;Unidade Local de Saúde da Guarda, EPE;2014-02;1404;809
267;[38.977235, -8.984506];Região de Saúde LVT;439;Hospital de Vila Franca de Xira, PPP;2014-02;1265;826
246;[39.2410946, -8.6937515];Região de Saúde LVT;522;Hospital Distrital de Santarém, EPE;2014-02;1079;557
760;[41.1831056, -8.6010558];Região de Saúde Norte;3067;Centro Hospitalar Universitário de São João, EPE;2014-02;6767;3700
255;[41.3423984, -8.4802503];Região de Saúde Norte;671;Centro Hospitalar do Médio Ave, EPE;2014-02;2120;1449
825;[41.1472498, -8.6172617];Região de Saúde Norte;2035;Centro Hospitalar Universitário do Porto, EPE;2014-02;5170;3135
483;[41.2494561, -8.264901];Região de Saúde Norte;1187;Centro Hospitalar Tâmega e Sousa, EPE;2014-02;2962;1775
373;[41.3031784, -7.7515252];Região de Saúde Norte;670;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;2014-02;2050;1380
904;[37.0238973, -7.9281554];Região de Saúde do Algarve;1386;Centro Hospitalar Universitário do Algarve,EPE;2014-03;2738;1352
1026;[38.7422257, -9.2264834];Região de Saúde LVT;1447;Hospital Professor Doutor Fernando Fonseca, EPE;2014-03;3823;2376
402;[41.3423984, -8.4802503];Região de Saúde Norte;1040;Centro Hospitalar do Médio Ave, EPE;2014-03;3165;2125
284;[41.3828711, -8.7589945];Região de Saúde Norte;808;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2014-03;1629;821
39;[41.5324234, -8.6171561];Região de Saúde Norte;217;Hospital Santa Maria Maior, EPE;2014-03;781;564
441;[38.014123, -7.8721227];Região de Saúde do Alentejo;445;Unidade Local de Saúde do Baixo Alentejo, EPE;2014-04;1173;728
293;[40.2804158, -7.4922407];Região de Saúde do Centro;989;Centro Hospitalar Universitário Cova da Beira, EPE;2014-04;1941;952
617;[40.6362453, -8.6543716];Região de Saúde do Centro;1139;Centro Hospitalar do Baixo Vouga, EPE;2014-04;2971;1832
1091;[40.516364, -8.0827433];Região de Saúde do Centro;2343;Centro Hospitalar Tondela-Viseu, EPE;2014-04;6937;4594
294;[40.117897, -8.8586755];Região de Saúde do Centro;818;Hospital Distrital da Figueira da Foz, EPE;2014-04;1853;1035
2612;[38.7166948, -9.1371248];Região de Saúde LVT;5518;Centro Hospitalar Universitário Lisboa Central, EPE;2014-04;12174;6656
547;[39.478072, -8.5404429];Região de Saúde LVT;1056;Centro Hospitalar Médio Tejo, EPE;2014-04;2290;1234
742;[38.821455, -9.176296];Região de Saúde LVT;1324;Hospital de Loures, PPP;2014-04;3763;2439
525;[38.977235, -8.984506];Região de Saúde LVT;902;Hospital de Vila Franca de Xira, PPP;2014-04;2659;1757
87;[38.7396768, -9.1634516];Região de Saúde LVT;1601;Instituto Português Oncologia de Lisboa, EPE;2014-04;2513;912
1642;[41.1472498, -8.6172617];Região de Saúde Norte;4124;Centro Hospitalar Universitário do Porto, EPE;2014-04;10280;6156
841;[41.1094138, -8.5972617];Região de Saúde Norte;2941;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;2014-04;7045;4104
637;[41.56785, -8.398982];Região de Saúde Norte;2406;Hospital de Braga, PPP;2014-04;6415;4009
309;[38.0162314, -8.6956768];Região de Saúde do Alentejo;582;Unidade Local de Saúde do Litoral Alentejano, EPE;2014-05;1443;861
365;[40.2804158, -7.4922407];Região de Saúde do Centro;1237;Centro Hospitalar Universitário Cova da Beira, EPE;2014-05;2427;1190
801;[40.6362453, -8.6543716];Região de Saúde do Centro;1417;Centro Hospitalar do Baixo Vouga, EPE;2014-05;3735;2318
938;[39.4054629, -9.1258493];Região de Saúde LVT;1111;Centro Hospitalar do Oeste, EPE;2014-05;2454;1343
